FID,Region,Country,Plant,NumReactor
61,America - Northern,UNITED STATES OF AMERICA,DIABLO CANYON,2
62,,NETHERLANDS,DODEWARRD,1
63,Europe - Western,BELGIUM,DOEL,4
64,America - Northern,UNITED STATES OF AMERICA,DONALD COOK,2
65,America - Northern,CANADA,DOUGLAS POINT,1
66,Europe - Western,UNITED KINGDOM,DOUNREAY,2
67,America - Northern,UNITED STATES OF AMERICA,DRESDEN,3
68,America - Northern,UNITED STATES OF AMERICA,DUANE ARNOLD,1
69,Europe - Central and Eastern,CZECH REPUBLIC,DUKOVANY,4
70,Europe - Western,UNITED KINGDOM,DUNGENESS,4
71,America - Northern,UNITED STATES OF AMERICA,ELK RIVER,1
72,America - Latin,ARGENTINA,EMBALSE,1
73,Europe - Western,GERMANY,EMSLAND (KKE),1
74,America - Northern,UNITED STATES OF AMERICA,ENRICO FERMI,3
75,Asia - Far East,CHINA,FANGCHENGGANG,2
76,America - Northern,UNITED STATES OF AMERICA,FARLEY,2
77,Europe - Western,FRANCE,FESSENHEIM,2
78,America - Northern,UNITED STATES OF AMERICA,FITZPATRICK,1
79,Europe - Western,FRANCE,FLAMANVILLE,3
80,Europe - Western,SWEDEN,FORSMARK,3
81,America - Northern,UNITED STATES OF AMERICA,FORT CALHOUN,1
82,America - Northern,UNITED STATES OF AMERICA,FORT ST. VRAIN,1
83,Asia - Far East,JAPAN,FUGEN ATR,1
84,Asia - Far East,JAPAN,FUKUSHIMA-DAIICHI,6
85,Asia - Far East,JAPAN,FUKUSHIMA-DAINI,4
86,Asia - Far East,CHINA,FUQING,3
87,Europe - Western,ITALY,GARIGLIANO,1
88,Asia - Far East,JAPAN,GENKAI,4
89,America - Northern,CANADA,GENTILLY,2
90,Europe - Western,SWITZERLAND,GOESGEN,1
91,Europe - Western,FRANCE,GOLFECH,2
92,Europe - Western,GERMANY,GRAFENRHEINFELD (KKG),1
93,America - Northern,UNITED STATES OF AMERICA,GRAND GULF,1
94,Europe - Western,FRANCE,GRAVELINES,6
95,Europe - Western,GERMANY,GREIFSWALD,5
96,Europe - Western,GERMANY,GROHNDE (KWG),1
